Official Symbol Interactor A,Official Symbol Interactor B
Tsc1,Fmr1
Tsc1,Foxg1
Tsc1,Fxr1
Tsc1,Fxr2
Tsc1,Hsp90aa1
Tsc1,Hsp90ab1
Tsc1,Hspa8
Tsc1,Igf2r
Tsc1,Kdm1a
Tsc1,Kif5c
Tsc1,Lamtor1
Tsc1,Maged1
Tsc1,Maged2
Tsc1,Matr3
Tsc1,Ncan
Tsc1,Nedd4
Tsc1,Nisch
Tsc1,Pak7
Tsc1,Ppp2cb
Tsc1,Ptprs
Tsc1,Qser1
Tsc1,Rptor
Tsc1,Scrib
Tsc1,Sestd1
Tsc1,Sfpq
Tsc1,Smc2
Tsc1,Soga3
Tsc1,Tdrd3
Tsc1,Tenm2
Tsc1,Tmed10
Tsc1,Tmed9
Tsc1,Tnks
Tsc1,Trp53bp1
Tsc1,Trim28
Tsc1,Ttc3
Tsc1,Usp9x
Tsc1,Wnk2
Tsc1,Wnk3
Tsc1,Ywhaq
Ctnnb1,Arhgap32
Ctnnb1,Tcf7l2
Ctnnb1,Sox2
Ctnnb1,Tcf4
Ctnnb1,Cdh1
Ctnnb1,Smarca4
Ctnnb1,Axin2
Ctnnb1,Axin1
Ctnnb1,Gsk3b
Ctnnb1,Apc
Ctnnb1,Ctnnbip1
Ctnnb1,Tax1bp3
Ctnnb1,Kifap3
Ctnnb1,Kif3b
Ctnnb1,Cdh2
Ctnnb1,Ctnnd1
Ctnnb1,Crebbp
Ctnnb1,Lef1
Ctnnb1,Tcf7l1
Ctnnb1,Esr1
Ctnnb1,Neurl2
Ctnnb1,Ctnna1
Ctnnb1,Pou5f1
Ctnnb1,Nanog
Ctnnb1,Coro1c
Ctnnb1,Fscn1
Ctnnb1,Osbp
Ctnnb1,Uchl1
Ctnnb1,Acp1
Ctnnb1,Actn1
Ctnnb1,Fermt2
Ctnnb1,Hdac6
Ctnnb1,Jup
Ctnnb1,Magi1
Ctnnb1,Magi2
Ctnnb1,Ndrg2
Ctnnb1,Vcl
Ctnnb1,Frmd5
Arhgap32,Ctnnb1
Arhgap32,Dlg4
Arhgap32,Cdh2
Arhgap32,Grin2b
Arhgap32,Cdc42
Arhgap32,Rac1
Arhgap32,Rhoa
Dlg4,Arhgap32
Dlg4,Grin2a
Dlg4,Grin2b
Dlg4,Grin2c
Dlg4,Grin2d
Dlg4,Grin1
Dlg4,Mdm2
Dlg4,Ap2b1
Dlg4,Asic2
Dlg4,Kcna4
Dlg4,Kcnd2
Dlg4,Thy1
Dlg4,Atp1a1
Dlg4,Arc
Dlg4,Ntrk2
Dlg4,Pik3c2a
Dlg4,Bai1
Dlg4,Lrp1
Dlg4,Sh3kbp1
Dlg4,Abi1
Dlg4,Ablim1
